League,Owner,Team,Purchase Price,Year acquired,Net Worth,Team Value,Operating Income,Ownership type,Stadium Cost,Year Stadium Built,Taxpayer help,Last renovation,Renovation cost,Did owner pay for stadium construction? ,Did owner pay for renovation? ,Inherit team? 
NFL,Michael Bidwill,Arizona Cardinals,50000,1932,1400000000,3270000000,112000000,Single,455000000,2006,Yes,,,No,,Yes
NFL,Arthur Blank,Atlanta Falcons,545000000,2002,7200000000,4000000000,171800000,Single,1600000000,2017,Yes,,,Yes,,No
NFL,Steve Bisciotti,Baltimore Ravens,325000000,2000,5700000000,3900000000,127400000,Single,220000000,1998,Yes,"$2,019","$120,000,000",No,Yes,
NFL,Kim & Terry Pegula,Buffalo Bills,1400000000,2014,5700000000,3400000000,83400000,Couple,22000000,1973,Yes,"$2,014","$130,000,000",No,Yes,No
NFL,David Tepper,Carolina Panthers,2275000000,2018,15800000000,3575000000,138800000,Single,248000000,1996,No,"$2,017","$47,000,000",No,No,No
NFL,Virginia Halas McCaskey,Chicago Bears,100,1983,1300000000,5600000000,155700000,Single,690000000,2003,Yes,,,Yes,,Yes
NFL,Mike Brown,Cincinnati Bengals,200000000,1991,925000000,3000000000,113800000,Single,455000000,2000,Yes,,,,,Yes
NFL,Jimmy & Dee Haslam,Cleveland Browns,1050000000,2012,3700000000,3850000000,90200000,Couple,283000000,1999,Yes,"$2,013","$120,000,000",No,Yes,No
NFL,Jerry Jones,Dallas Cowboys,140000000,1989,9100000000,8000000000,465900000,Single,13000000000,2009,Yes,,,Yes,,No
NFL,Rob Walton,Denver Broncos,4650000000,2022,59000000000,4650000000,143100000,Single,401000000,2001,Yes,"$2,013","$32,000,000",No,No,No
NFL,Sheila Ford Hamp,Detroit Lions,4500000,2020,2000000000,3050000000,88600000,Single,500000000,2002,Yes,"$2,017","$100,000,000",No,No,Yes
NFL,Green Bay Packers Inc.,Green Bay Packers,N/A,1923,4250000000,4250000000,138400000,Corporation,960000,1957,Yes,"$2,015","$140,000,000",N/A,N/A,N/A
NFL,Janice McNair,Houston Texans,700000000,1999,4200000000,4700000000,211500000,Single,323000000,2002,No,,,No,,Yes
NFL,Jim Irsay,Indianapolis Colts,19000000,1997,3000000000,3800000000,99600000,Single,720000000,2008,Yes,,,Yes,,Yes
